1/lambda_cnt,A_P,A_S,A_IH
20,0.992838950,0.992820357,0.991790932
40,0.995637219,0.995620664,0.994787349
60,0.996572679,0.996556803,0.995789115
80,0.997040917,0.997025381,0.99629056
100,0.997322022,0.99730669,0.996591651
150,0.997697021,0.997681960,0.996993178
200,0.997884601, 0.997869677,0.997194114
300,0.998255304,0.998240651,0.997586807
400,0.998257614,0.998242962,0.997591433
500,0.998259001,0.998244349,0.997594466
600,0.998259925,0.998245273,0.997596063
700,0.998286742,0.99827211,0.997624778
800,0.998306856,0.998292238,0.997646321
900,0.9983225,0.998307894,0.997663073
1000,0.998335016,0.998320419,0.997676476
