1/lambda_cnt	A_P	A_S	A_IH
20  0.998125919 0.998111247 0.997341187
50	0.998209091	0.998194436	0.997507442
100	0.998236818	0.998222165	0.997562827
150	0.998246061	0.998231408	0.997581345
200	0.998250682	0.998236030	0.997590580
250	0.998253454	0.998238803	0.997596125
300	0.998255304	0.998240651	0.997599819
350	0.998256624	0.998241972	0.997602464
400	0.998257614	0.998242962	0.997604435
450	0.998258385	0.998243732	0.997605998
500	0.998259001	0.998244349	0.997607230
550	0.998259505	0.998244853	0.997608230
600	0.998259925	0.998245273	0.997609055
650	0.998260281	0.998245628	0.997609764
700	0.998260586	0.998245933	0.997610373
750	0.998260850	0.998246197	0.997610900
800	0.998261081	0.998246428	0.997611364
850	0.998261284	0.998246632	0.997611772
900	0.998261466	0.998246813	0.997612135
950	0.998261628	0.998246976	0.997612455
