1/lambda,A_P,A_S,A_IH
50,9.98100964e-001,9.97928300e-001,9.96121113e-001
100,9.98184137e-001,9.98094626e-001,9.96896057e-001
150,9.98211863e-001,9.98150076e-001,9.97154633e-001
200,9.98225727e-001,9.98177802e-001,9.97283894e-001
250,9.98234045e-001,9.98194438e-001,9.97361463e-001
300,9.98239591e-001,9.98205529e-001,9.97413183e-001
350,9.98243552e-001,9.98213451e-001,9.97450124e-001
400,9.98246523e-001,9.98219393e-001,9.97477818e-001
450,9.98248834e-001,9.98224014e-001,9.97499376e-001
500,9.98250682e-001,9.98227711e-001,9.97516617e-001
550,9.98252195e-001,9.98230737e-001,9.97530752e-001
600,9.98253455e-001,9.98233257e-001,9.97542449e-001
650,9.98254522e-001,9.98235390e-001,9.97552418e-001
700,9.98255436e-001,9.98237218e-001,9.97560959e-001
750,9.98256228e-001,9.98238803e-001,9.97568338e-001
800,9.98256921e-001,9.98240189e-001,9.97574776e-001
850,9.98257533e-001,9.98241413e-001,9.97580512e-001
900,9.98258077e-001,9.98242500e-001,9.97585581e-001
950,9.98258563e-001,9.98243473e-001,9.97590239e-001
1000,9.98259001e-001,9.98244349e-001,9.97594466e-001
1050,9.98259400e-001,9.98245141e-001,9.97597895e-001
1100,9.98259757e-001,9.98245861e-001,9.97601279e-001
1150,9.98260086e-001,9.98246519e-001,9.97604326e-001
1200,9.98260387e-001,9.98247122e-001,9.97607139e-001
1250,9.98260665e-001,9.98247676e-001,9.97609724e-001
1300,9.98260921e-001,9.98248188e-001,9.97612113e-001
1350,9.98261158e-001,9.98248662e-001,9.97614323e-001
1400,9.98261378e-001,9.98249102e-001,9.97616374e-001
1450,9.98261583e-001,9.98249512e-001,9.97618260e-001
1500,9.98261774e-001,9.98249895e-001,9.97620073e-001
1550,9.98261953e-001,9.98250252e-001,9.97621740e-001
1600,9.98262121e-001,9.98250588e-001,9.97623301e-001
1650,9.98262278e-001,9.98250903e-001,9.97624770e-001
1700,9.98262426e-001,9.98251199e-001,9.97626158e-001
1750,9.98262566e-001,9.98251479e-001,9.97627450e-001
1800,9.98262698e-001,9.98251743e-001,9.97628689e-001
1850,9.98262823e-001,9.98251993e-001,9.97629891e-001
1900,9.98262941e-001,9.98252229e-001,9.97630963e-001
1950,9.98263054e-001,9.98252454e-001,9.97632012e-001
2000,9.98263160e-001,9.98252667e-001,9.97632997e-001
2050,9.98263262e-001,9.98252870e-001,9.97633949e-001
