1/mu,A_PS,A_IH
20,9.98259001e-001,9.97671992e-001
40,9.98249233e-001,9.97654747e-001
60,9.98239465e-001,9.97637483e-001
80,9.98229697e-001,9.97620212e-001
100,9.98219930e-001,9.97602931e-001
120,9.98210163e-001,9.97585634e-001
140,9.98200396e-001,9.97568329e-001
160,9.98190629e-001,9.97551012e-001
180,9.98180862e-001,9.97533685e-001
200,9.98171096e-001,9.97516347e-001
220,9.98161329e-001,9.97498999e-001
240,9.98151563e-001,9.97481641e-001
260,9.98141797e-001,9.97464272e-001
280,9.98132032e-001,9.97446894e-001
300,9.98122266e-001,9.97429506e-001
320,9.98112501e-001,9.97412108e-001
